GEOID,sovi,rank,fema_region
g01001,-4.560287013862147,708.0,FEMA_4
g01003,-1.6866899159876443,582.0,FEMA_4
g01005,1.720873303608284,149.0,FEMA_4
g01007,-3.116673278286103,670.0,FEMA_4
g01009,-2.326570899777033,624.0,FEMA_4
g01011,0.34207357982071285,305.0,FEMA_4
g01013,1.5412760707288313,166.0,FEMA_4
g01015,-1.1747126600092808,516.0,FEMA_4
g01017,0.0760377527420926,349.0,FEMA_4
g01019,-0.0933368306950412,369.0,FEMA_4
g01021,-2.1989173751498674,618.0,FEMA_4
g01023,-1.4818417196254612,552.0,FEMA_4
g01025,-0.6890604102400276,450.0,FEMA_4
g01027,0.5498874384243205,279.0,FEMA_4
g01029,-1.6331897297582687,570.0,FEMA_4
g01031,-0.9532580895521036,483.0,FEMA_4
g01033,-1.630649872960428,569.0,FEMA_4
g01035,0.6212895924412558,273.0,FEMA_4
g01037,-0.39480129378781004,406.0,FEMA_4
g01039,0.07070944879071728,350.0,FEMA_4
g01041,-0.3614204533970637,403.0,FEMA_4
g01043,-0.9767966286094407,490.0,FEMA_4
g01045,-0.4205702726362128,412.0,FEMA_4
g01047,0.870484967400643,243.0,FEMA_4
g01049,0.33853103854256544,306.0,FEMA_4
g01051,-3.21218183259296,673.0,FEMA_4
g01053,2.7845038647755507,82.0,FEMA_4
g01055,-0.4793101896451217,420.0,FEMA_4
g01057,-0.2859485449416812,391.0,FEMA_4
g01059,0.38699792316482123,300.0,FEMA_4
g01061,-0.5166486404652212,426.0,FEMA_4
g01063,1.44282140978938,178.0,FEMA_4
g01065,0.8573671007358273,246.0,FEMA_4
g01067,0.06955292444321726,351.0,FEMA_4
g01069,-1.381616380805927,538.0,FEMA_4
g01071,-0.9753851961335416,489.0,FEMA_4
g01073,-1.8086083187198034,591.0,FEMA_4
g01075,-0.4391600689525709,414.0,FEMA_4
g01077,-0.696036621015077,453.0,FEMA_4
g01079,-0.29490373644712964,393.0,FEMA_4
g01081,-3.0923074196570894,667.0,FEMA_4
g01083,-2.7223775492034576,646.0,FEMA_4
g01085,-0.9062614189701511,481.0,FEMA_4
g01087,3.072014555162279,68.0,FEMA_4
g01089,-3.8113731804593654,693.0,FEMA_4
g01091,0.18458178779429502,332.0,FEMA_4
g01093,0.4965714250102364,286.0,FEMA_4
g01095,-0.11511334323704471,372.0,FEMA_4
g01097,-1.512073085312294,557.0,FEMA_4
g01099,0.402244551953365,299.0,FEMA_4
g01101,-1.139513807310129,510.0,FEMA_4
g01103,-1.721250079945256,586.0,FEMA_4
g01105,3.363820198128653,56.0,FEMA_4
g01107,0.1453748971422285,339.0,FEMA_4
g01109,0.3376605519040507,308.0,FEMA_4
g01111,0.06904609640808546,352.0,FEMA_4
g01113,0.6498014078029809,269.0,FEMA_4
g01115,-3.6659261578732347,687.0,FEMA_4
g01117,-6.295277128644893,728.0,FEMA_4
g01119,3.4105380595589994,52.0,FEMA_4
g01121,-0.9026089316117735,480.0,FEMA_4
g01123,0.6800972281753763,264.0,FEMA_4
g01125,-2.3522249567192914,629.0,FEMA_4
g01127,-0.48661618989332633,422.0,FEMA_4
g01129,-0.37269318987377087,404.0,FEMA_4
g01131,0.8478800393659373,249.0,FEMA_4
g01133,0.4751535405846448,287.0,FEMA_4
g02013,,,
g02016,,,
g02020,,,
g02050,,,
g02060,,,
g02068,,,
g02070,,,
g02090,,,
g02100,,,
g02105,,,
g02110,,,
g02122,,,
g02130,,,
g02150,,,
g02164,,,
g02170,,,
g02180,,,
g02185,,,
g02188,,,
g02195,,,
g02198,,,
g02220,,,
g02230,,,
g02240,,,
g02261,,,
g02270,,,
g02275,,,
g02282,,,
g02290,,,
g04001,9.371917709283375,1.0,FEMA_9
g04003,0.4457582103375727,40.0,FEMA_9
g04005,-0.5026438811333276,50.0,FEMA_9
g04007,5.275461778203927,3.0,FEMA_9
g04009,0.4507708797662824,39.0,FEMA_9
g04011,-4.603472342637208,86.0,FEMA_9
g04012,4.1007297856655995,7.0,FEMA_9
g04013,-2.2215266695477416,77.0,FEMA_9
g04015,2.0642340333248423,14.0,FEMA_9
g04017,4.898057019143679,4.0,FEMA_9
g04019,0.049355469388134066,46.0,FEMA_9
g04021,-1.365814946769127,65.0,FEMA_9
g04023,3.604386941862855,9.0,FEMA_9
g04025,0.9605921896578801,28.0,FEMA_9
g04027,2.391821124013534,12.0,FEMA_9
g05001,-0.6131063010845823,316.0,FEMA_6
g05003,-1.2021118897859515,359.0,FEMA_6
