GEOID,sovi,rank,state_id
g06001,-2.4562978755855394,48.0,g06
g06003,-4.709126226507401,58.0,g06
g06005,0.5359477799221195,20.0,g06
g06007,-0.1346692988939711,26.0,g06
g06009,-3.1315418280304077,52.0,g06
g06011,5.311959412369458,3.0,g06
g06013,-3.2474738397074048,53.0,g06
g06015,2.843015802944672,10.0,g06
g06017,-4.26748214956829,56.0,g06
g06019,1.6987533636588579,16.0,g06
g06021,2.7412349745103857,11.0,g06
g06023,-1.67012756752329,44.0,g06
g06025,3.844378089537233,6.0,g06
g06027,-0.6629368780438247,31.0,g06
g06029,2.4407951887031394,12.0,g06
g06031,5.500011464507814,1.0,g06
g06033,0.8243768051189513,19.0,g06
g06035,4.63161974530493,5.0,g06
g06037,0.21638845932439582,23.0,g06
g06039,3.8315142000185705,7.0,g06
g06041,-1.4792090666045175,42.0,g06
g06043,-0.08858299401474268,25.0,g06
g06045,0.29892050259091696,22.0,g06
g06047,2.3938121674985613,13.0,g06
g06049,5.174921857341383,4.0,g06
g06051,-4.295685020893934,57.0,g06
g06053,3.2859791405432426,9.0,g06
g06055,1.7300163654480731,15.0,g06
g06057,-2.768976127555999,50.0,g06
g06059,-0.7841843406010502,32.0,g06
g06061,-4.057573814339594,55.0,g06
g06063,-0.9346881085281331,34.0,g06
g06065,-1.7800025388490024,45.0,g06
g06067,-2.899573725867777,51.0,g06
g06069,-0.01624985644799093,24.0,g06
g06071,-2.584778782866627,49.0,g06
g06073,-1.565384204628247,43.0,g06
g06075,5.425293247241406,2.0,g06
g06077,-0.7921730194358707,33.0,g06
g06079,-0.2619894691485402,29.0,g06
g06081,-1.2783918968941979,40.0,g06
g06083,1.9975267758113602,14.0,g06
g06085,-1.2489458278497814,39.0,g06
g06087,-0.2804166998720963,30.0,g06
g06089,-1.0750778942611399,36.0,g06
g06091,-1.9082226572190382,47.0,g06
g06093,-0.17318864869602713,27.0,g06
g06095,-3.711348404349994,54.0,g06
g06097,-1.1325307843784587,37.0,g06
g06099,0.4984146001620141,21.0,g06
